20,100,170
21,100,169
22,99,168
23,99,168
24,98,167
25,98,166
26,97,165
27,97,164
28,96,164
29,96,163
30,95,162
31,95,161
32,94,160
33,94,159
34,93,158
35,93,157
36,92,156
37,92,155
38,91,155
39,91,154
40,90,153
41,90,153
42,89,152
43,89,151
44,88,150
45,88,149
46,87,149
47,87,148
48,86,147
49,86,146
50,85,145
51,85,144
52,84,143
53,84,142
54,83,141
55,83,140
56,82,140
57,82,139
58,81,138
59,81,137
60,80,136
61,80,136
62,79,135
63,79,133
64,78,134
65,78,132
66,77,131
67,77,130
68,76,130
69,76,129
70,75,128
